state,category,group,cvap
Missouri,Income,"$10,000 to $14,999",89951
Missouri,Income,"$15,000 to $19,999",80069
Missouri,Income,"$20,000 to $24,999",95599
Missouri,Income,"$25,000 to $29,999",94455
Missouri,Income,"$30,000 to $34,999",98582
Missouri,Income,"$35,000 to $39,999",95959
Missouri,Income,"$40,000 to $44,999",108959
Missouri,Income,"$45,000 to $49,999",86751
Missouri,Income,"$50,000 to $59,999",190542
Missouri,Income,"$60,000 to $74,999",259349
Missouri,Income,"$75,000 to $99,999",348182
Missouri,Income,"$100,000 to $124,999",259546
Missouri,Income,"$125,000 to $149,999",177869
Missouri,Income,"$150,000 to $199,999",210313
Missouri,Income,"$200,000 or more",234033
Montana,Income,"Less than $10,000",17748
Montana,Income,"$10,000 to $14,999",17299
Montana,Income,"$15,000 to $19,999",12594
Montana,Income,"$20,000 to $24,999",18174
Montana,Income,"$25,000 to $29,999",15173
Montana,Income,"$30,000 to $34,999",16400
Montana,Income,"$35,000 to $39,999",19832
Montana,Income,"$40,000 to $44,999",17808
Montana,Income,"$45,000 to $49,999",14862
Montana,Income,"$50,000 to $59,999",34799
Montana,Income,"$60,000 to $74,999",48748
Montana,Income,"$75,000 to $99,999",63678
Montana,Income,"$100,000 to $124,999",50927
Montana,Income,"$125,000 to $149,999",36876
Montana,Income,"$150,000 to $199,999",40517
Montana,Income,"$200,000 or more",43546
Nebraska,Income,"Less than $10,000",35439
Nebraska,Income,"$10,000 to $14,999",24943
Nebraska,Income,"$15,000 to $19,999",24314
Nebraska,Income,"$20,000 to $24,999",27843
Nebraska,Income,"$25,000 to $29,999",27955
Nebraska,Income,"$30,000 to $34,999",27427
Nebraska,Income,"$35,000 to $39,999",30668
Nebraska,Income,"$40,000 to $44,999",33217
Nebraska,Income,"$45,000 to $49,999",29326
Nebraska,Income,"$50,000 to $59,999",61732
Nebraska,Income,"$60,000 to $74,999",81725
Nebraska,Income,"$75,000 to $99,999",109505
Nebraska,Income,"$100,000 to $124,999",92825
Nebraska,Income,"$125,000 to $149,999",64547
Nebraska,Income,"$150,000 to $199,999",79109
Nebraska,Income,"$200,000 or more",73437
Nevada,Income,"Less than $10,000",65456
Nevada,Income,"$10,000 to $14,999",29451
Nevada,Income,"$15,000 to $19,999",32743
Nevada,Income,"$20,000 to $24,999",35201
Nevada,Income,"$25,000 to $29,999",35514
Nevada,Income,"$30,000 to $34,999",46505
Nevada,Income,"$35,000 to $39,999",40687
Nevada,Income,"$40,000 to $44,999",45801
Nevada,Income,"$45,000 to $49,999",40983
Nevada,Income,"$50,000 to $59,999",77457
Nevada,Income,"$60,000 to $74,999",124351
Nevada,Income,"$75,000 to $99,999",165826
Nevada,Income,"$100,000 to $124,999",138496
Nevada,Income,"$125,000 to $149,999",94910
Nevada,Income,"$150,000 to $199,999",122682
Nevada,Income,"$200,000 or more",142862
New Hampshire,Income,"Less than $10,000",23195
New Hampshire,Income,"$10,000 to $14,999",11251
New Hampshire,Income,"$15,000 to $19,999",11699
New Hampshire,Income,"$20,000 to $24,999",16247
New Hampshire,Income,"$25,000 to $29,999",12912
New Hampshire,Income,"$30,000 to $34,999",17144
New Hampshire,Income,"$35,000 to $39,999",15928
New Hampshire,Income,"$40,000 to $44,999",15207
New Hampshire,Income,"$45,000 to $49,999",12901
New Hampshire,Income,"$50,000 to $59,999",32800
New Hampshire,Income,"$60,000 to $74,999",50033
New Hampshire,Income,"$75,000 to $99,999",66571
New Hampshire,Income,"$100,000 to $124,999",63240
New Hampshire,Income,"$125,000 to $149,999",51230
New Hampshire,Income,"$150,000 to $199,999",73303
New Hampshire,Income,"$200,000 or more",97028
New Jersey,Income,"Less than $10,000",153771
New Jersey,Income,"$10,000 to $14,999",84332
New Jersey,Income,"$15,000 to $19,999",68864
New Jersey,Income,"$20,000 to $24,999",86074
New Jersey,Income,"$25,000 to $29,999",79561
New Jersey,Income,"$30,000 to $34,999",89036
New Jersey,Income,"$35,000 to $39,999",83064
New Jersey,Income,"$40,000 to $44,999",92432
New Jersey,Income,"$45,000 to $49,999",90920
New Jersey,Income,"$50,000 to $59,999",177164
New Jersey,Income,"$60,000 to $74,999",281931
New Jersey,Income,"$75,000 to $99,999",404809
New Jersey,Income,"$100,000 to $124,999",365374
New Jersey,Income,"$125,000 to $149,999",292142
New Jersey,Income,"$150,000 to $199,999",423318
New Jersey,Income,"$200,000 or more",771152
New Mexico,Income,"Less than $10,000",57182
New Mexico,Income,"$10,000 to $14,999",38078
New Mexico,Income,"$15,000 to $19,999",32155
New Mexico,Income,"$20,000 to $24,999",35836
New Mexico,Income,"$25,000 to $29,999",29901
New Mexico,Income,"$30,000 to $34,999",38526
New Mexico,Income,"$35,000 to $39,999",29054
New Mexico,Income,"$40,000 to $44,999",29906
New Mexico,Income,"$45,000 to $49,999",30330
New Mexico,Income,"$50,000 to $59,999",62054
New Mexico,Income,"$60,000 to $74,999",80552
New Mexico,Income,"$75,000 to $99,999",107393
New Mexico,Income,"$100,000 to $124,999",87124
New Mexico,Income,"$125,000 to $149,999",56031
New Mexico,Income,"$150,000 to $199,999",66891
New Mexico,Income,"$200,000 or more",75957
New York,Income,"Less than $10,000",482084
New York,Income,"$10,000 to $14,999",298631
New York,Income,"$15,000 to $19,999",230919
New York,Income,"$20,000 to $24,999",256217
New York,Income,"$25,000 to $29,999",215831
New York,Income,"$30,000 to $34,999",240991
New York,Income,"$35,000 to $39,999",217616
New York,Income,"$40,000 to $44,999",247077
New York,Income,"$45,000 to $49,999",222061
New York,Income,"$50,000 to $59,999",450699
New York,Income,"$60,000 to $74,999",626871
New York,Income,"$75,000 to $99,999",901540
New York,Income,"$100,000 to $124,999",752828
New York,Income,"$125,000 to $149,999",554489
New York,Income,"$150,000 to $199,999",773418
New York,Income,"$200,000 or more",1356802
North Carolina,Income,"Less than $10,000",233418
North Carolina,Income,"$10,000 to $14,999",159116
North Carolina,Income,"$15,000 to $19,999",137175
North Carolina,Income,"$20,000 to $24,999",159863
North Carolina,Income,"$25,000 to $29,999",156162
North Carolina,Income,"$30,000 to $34,999",160685
North Carolina,Income,"$35,000 to $39,999",158087
North Carolina,Income,"$40,000 to $44,999",178246
North Carolina,Income,"$45,000 to $49,999",161118
North Carolina,Income,"$50,000 to $59,999",329596
North Carolina,Income,"$60,000 to $74,999",438529
North Carolina,Income,"$75,000 to $99,999",580808
North Carolina,Income,"$100,000 to $124,999",453831
North Carolina,Income,"$125,000 to $149,999",312088
North Carolina,Income,"$150,000 to $199,999",378975
North Carolina,Income,"$200,000 or more",498662
North Dakota,Income,"Less than $10,000",17568
North Dakota,Income,"$10,000 to $14,999",10120
North Dakota,Income,"$15,000 to $19,999",9481
North Dakota,Income,"$20,000 to $24,999",9784
North Dakota,Income,"$25,000 to $29,999",12004
North Dakota,Income,"$30,000 to $34,999",11841
North Dakota,Income,"$35,000 to $39,999",11309
North Dakota,Income,"$40,000 to $44,999",13699
North Dakota,Income,"$45,000 to $49,999",14448
North Dakota,Income,"$50,000 to $59,999",23885
North Dakota,Income,"$60,000 to $74,999",33623
North Dakota,Income,"$75,000 to $99,999",48921
North Dakota,Income,"$100,000 to $124,999",37850
North Dakota,Income,"$125,000 to $149,999",30319
North Dakota,Income,"$150,000 to $199,999",29556
North Dakota,Income,"$200,000 or more",35297
Ohio,Income,"Less than $10,000",266085
Ohio,Income,"$10,000 to $14,999",181310
Ohio,Income,"$15,000 to $19,999",147004
Ohio,Income,"$20,000 to $24,999",180506
Ohio,Income,"$25,000 to $29,999",173617
Ohio,Income,"$30,000 to $34,999",188459
Ohio,Income,"$35,000 to $39,999",178238
Ohio,Income,"$40,000 to $44,999",208172
Ohio,Income,"$45,000 to $49,999",166780
Ohio,Income,"$50,000 to $59,999",354500
Ohio,Income,"$60,000 to $74,999",495058
Ohio,Income,"$75,000 to $99,999",652185
Ohio,Income,"$100,000 to $124,999",514532
Ohio,Income,"$125,000 to $149,999",346668
Ohio,Income,"$150,000 to $199,999",423560
Ohio,Income,"$200,000 or more",452648
Oklahoma,Income,"Less than $10,000",98805
Oklahoma,Income,"$10,000 to $14,999",64147
Oklahoma,Income,"$15,000 to $19,999",55812
Oklahoma,Income,"$20,000 to $24,999",64483
Oklahoma,Income,"$25,000 to $29,999",60039
Oklahoma,Income,"$30,000 to $34,999",66097
Oklahoma,Income,"$35,000 to $39,999",63314
Oklahoma,Income,"$40,000 to $44,999",69142
Oklahoma,Income,"$45,000 to $49,999",60682
Oklahoma,Income,"$50,000 to $59,999",126528
Oklahoma,Income,"$60,000 to $74,999",166987
Oklahoma,Income,"$75,000 to $99,999",209476
Oklahoma,Income,"$100,000 to $124,999",158407
Oklahoma,Income,"$125,000 to $149,999",105797
Oklahoma,Income,"$150,000 to $199,999",115219
Oklahoma,Income,"$200,000 or more",118813
Oregon,Income,"Less than $10,000",85179
Oregon,Income,"$10,000 to $14,999",53752
Oregon,Income,"$15,000 to $19,999",47513
Oregon,Income,"$20,000 to $24,999",55462
Oregon,Income,"$25,000 to $29,999",49916
Oregon,Income,"$30,000 to $34,999",58872
Oregon,Income,"$35,000 to $39,999",53903
Oregon,Income,"$40,000 to $44,999",56303
Oregon,Income,"$45,000 to $49,999",56302
Oregon,Income,"$50,000 to $59,999",106184
Oregon,Income,"$60,000 to $74,999",151117
Oregon,Income,"$75,000 to $99,999",232475
Oregon,Income,"$100,000 to $124,999",193643
Oregon,Income,"$125,000 to $149,999",140416
Oregon,Income,"$150,000 to $199,999",183358
Oregon,Income,"$200,000 or more",219875
Pennsylvania,Income,"Less than $10,000",270326
Pennsylvania,Income,"$10,000 to $14,999",184982
Pennsylvania,Income,"$15,000 to $19,999",152311
Pennsylvania,Income,"$20,000 to $24,999",191670
Pennsylvania,Income,"$25,000 to $29,999",174105
Pennsylvania,Income,"$30,000 to $34,999",188278
Pennsylvania,Income,"$35,000 to $39,999",187300
Pennsylvania,Income,"$40,000 to $44,999",199717
Pennsylvania,Income,"$45,000 to $49,999",183220
Pennsylvania,Income,"$50,000 to $59,999",357607
Pennsylvania,Income,"$60,000 to $74,999",506948
Pennsylvania,Income,"$75,000 to $99,999",680810
Pennsylvania,Income,"$100,000 to $124,999",551286
Pennsylvania,Income,"$125,000 to $149,999",394596
Pennsylvania,Income,"$150,000 to $199,999",499219
Pennsylvania,Income,"$200,000 or more",639349
Rhode Island,Income,"Less than $10,000",23352
Rhode Island,Income,"$10,000 to $14,999",17572
Rhode Island,Income,"$15,000 to $19,999",14552
Rhode Island,Income,"$20,000 to $24,999",13900
Rhode Island,Income,"$25,000 to $29,999",13075
Rhode Island,Income,"$30,000 to $34,999",13346
Rhode Island,Income,"$35,000 to $39,999",10253
Rhode Island,Income,"$40,000 to $44,999",15540
Rhode Island,Income,"$45,000 to $49,999",11665
Rhode Island,Income,"$50,000 to $59,999",28633
Rhode Island,Income,"$60,000 to $74,999",41010
Rhode Island,Income,"$75,000 to $99,999",55353
Rhode Island,Income,"$100,000 to $124,999",44128
Rhode Island,Income,"$125,000 to $149,999",32473
Rhode Island,Income,"$150,000 to $199,999",48027
Rhode Island,Income,"$200,000 or more",65439
South Carolina,Income,"Less than $10,000",130320
South Carolina,Income,"$10,000 to $14,999",80440
South Carolina,Income,"$15,000 to $19,999",65183
South Carolina,Income,"$20,000 to $24,999",82486
South Carolina,Income,"$25,000 to $29,999",75607
South Carolina,Income,"$30,000 to $34,999",83009
South Carolina,Income,"$35,000 to $39,999",81567
South Carolina,Income,"$40,000 to $44,999",85342
South Carolina,Income,"$45,000 to $49,999",80750
South Carolina,Income,"$50,000 to $59,999",159866
South Carolina,Income,"$60,000 to $74,999",218599
South Carolina,Income,"$75,000 to $99,999",300320
South Carolina,Income,"$100,000 to $124,999",220326
South Carolina,Income,"$125,000 to $149,999",154722
South Carolina,Income,"$150,000 to $199,999",193613
South Carolina,Income,"$200,000 or more",210740
South Dakota,Income,"Less than $10,000",17935
South Dakota,Income,"$10,000 to $14,999",10475
South Dakota,Income,"$15,000 to $19,999",10578
South Dakota,Income,"$20,000 to $24,999",11424
South Dakota,Income,"$25,000 to $29,999",11212
South Dakota,Income,"$30,000 to $34,999",12601
South Dakota,Income,"$35,000 to $39,999",11422
South Dakota,Income,"$40,000 to $44,999",17296
South Dakota,Income,"$45,000 to $49,999",13718
South Dakota,Income,"$50,000 to $59,999",29410
South Dakota,Income,"$60,000 to $74,999",40743
South Dakota,Income,"$75,000 to $99,999",55098
South Dakota,Income,"$100,000 to $124,999",43855
South Dakota,Income,"$125,000 to $149,999",30624
South Dakota,Income,"$150,000 to $199,999",32535
South Dakota,Income,"$200,000 or more",33376
Tennessee,Income,"Less than $10,000",148247
Tennessee,Income,"$10,000 to $14,999",110332
Tennessee,Income,"$15,000 to $19,999",94811
Tennessee,Income,"$20,000 to $24,999",114931
Tennessee,Income,"$25,000 to $29,999",89735
Tennessee,Income,"$30,000 to $34,999",107205
Tennessee,Income,"$35,000 to $39,999",112633
Tennessee,Income,"$40,000 to $44,999",123940
Tennessee,Income,"$45,000 to $49,999",105132
Tennessee,Income,"$50,000 to $59,999",211111
Tennessee,Income,"$60,000 to $74,999",294536
Tennessee,Income,"$75,000 to $99,999",395500
Tennessee,Income,"$100,000 to $124,999",306881
Tennessee,Income,"$125,000 to $149,999",194753
Tennessee,Income,"$150,000 to $199,999",240098
Tennessee,Income,"$200,000 or more",278920
Texas,Income,"Less than $10,000",605149
Texas,Income,"$10,000 to $14,999",361201
Texas,Income,"$15,000 to $19,999",310500
Texas,Income,"$20,000 to $24,999",370682
Texas,Income,"$25,000 to $29,999",352996
Texas,Income,"$30,000 to $34,999",402456
Texas,Income,"$35,000 to $39,999",368091
Texas,Income,"$40,000 to $44,999",423896
Texas,Income,"$45,000 to $49,999",357792
Texas,Income,"$50,000 to $59,999",752681
Texas,Income,"$60,000 to $74,999",1112445
Texas,Income,"$75,000 to $99,999",1448602
Texas,Income,"$100,000 to $124,999",1155779
Texas,Income,"$125,000 to $149,999",825478
Texas,Income,"$150,000 to $199,999",1090177
Texas,Income,"$200,000 or more",1511844
Utah,Income,"Less than $10,000",37870
Utah,Income,"$10,000 to $14,999",22774
Utah,Income,"$15,000 to $19,999",20004
Utah,Income,"$20,000 to $24,999",24283
Utah,Income,"$25,000 to $29,999",23495
Utah,Income,"$30,000 to $34,999",30819
Utah,Income,"$35,000 to $39,999",32076
Utah,Income,"$40,000 to $44,999",35752
Utah,Income,"$45,000 to $49,999",35237
Utah,Income,"$50,000 to $59,999",66351
Utah,Income,"$60,000 to $74,999",112770
Utah,Income,"$75,000 to $99,999",171140
Utah,Income,"$100,000 to $124,999",148844
Utah,Income,"$125,000 to $149,999",113049
Utah,Income,"$150,000 to $199,999",139501
Utah,Income,"$200,000 or more",170463
Vermont,Income,"Less than $10,000",10662
Vermont,Income,"$10,000 to $14,999",7753
Vermont,Income,"$15,000 to $19,999",8710
Vermont,Income,"$20,000 to $24,999",8662
Vermont,Income,"$25,000 to $29,999",10008
Vermont,Income,"$30,000 to $34,999",9357
Vermont,Income,"$35,000 to $39,999",9901
Vermont,Income,"$40,000 to $44,999",8581
Vermont,Income,"$45,000 to $49,999",9226
Vermont,Income,"$50,000 to $59,999",18975
Vermont,Income,"$60,000 to $74,999",28316
Vermont,Income,"$75,000 to $99,999",39043
Vermont,Income,"$100,000 to $124,999",33128
Vermont,Income,"$125,000 to $149,999",21461
Vermont,Income,"$150,000 to $199,999",29884
Vermont,Income,"$200,000 or more",31881
Virginia,Income,"Less than $10,000",149488
Virginia,Income,"$10,000 to $14,999",92236
Virginia,Income,"$15,000 to $19,999",81834
Virginia,Income,"$20,000 to $24,999",93995
Virginia,Income,"$25,000 to $29,999",87465
Virginia,Income,"$30,000 to $34,999",97506
Virginia,Income,"$35,000 to $39,999",88908
Virginia,Income,"$40,000 to $44,999",112389
Virginia,Income,"$45,000 to $49,999",106655
Virginia,Income,"$50,000 to $59,999",205807
Virginia,Income,"$60,000 to $74,999",301867
Virginia,Income,"$75,000 to $99,999",422562
Virginia,Income,"$100,000 to $124,999",358195
Virginia,Income,"$125,000 to $149,999",261747
Virginia,Income,"$150,000 to $199,999",384460
Virginia,Income,"$200,000 or more",604193
Washington,Income,"Less than $10,000",137847
Washington,Income,"$10,000 to $14,999",75247
Washington,Income,"$15,000 to $19,999",65024
Washington,Income,"$20,000 to $24,999",74379
Washington,Income,"$25,000 to $29,999",73109
Washington,Income,"$30,000 to $34,999",75428
Washington,Income,"$35,000 to $39,999",78454
Washington,Income,"$40,000 to $44,999",88347
Washington,Income,"$45,000 to $49,999",89676
Washington,Income,"$50,000 to $59,999",178349
Washington,Income,"$60,000 to $74,999",261604
Washington,Income,"$75,000 to $99,999",394127
Washington,Income,"$100,000 to $124,999",356566
Washington,Income,"$125,000 to $149,999",249198
Washington,Income,"$150,000 to $199,999",358622
Washington,Income,"$200,000 or more",612103
West Virginia,Income,"Less than $10,000",47999
West Virginia,Income,"$10,000 to $14,999",37231
West Virginia,Income,"$15,000 to $19,999",33847
West Virginia,Income,"$20,000 to $24,999",36019
West Virginia,Income,"$25,000 to $29,999",34810
West Virginia,Income,"$30,000 to $34,999",33783
West Virginia,Income,"$35,000 to $39,999",30541
West Virginia,Income,"$40,000 to $44,999",29626
West Virginia,Income,"$45,000 to $49,999",26668
West Virginia,Income,"$50,000 to $59,999",54647
West Virginia,Income,"$60,000 to $74,999",72506
West Virginia,Income,"$75,000 to $99,999",98105
West Virginia,Income,"$100,000 to $124,999",69710
West Virginia,Income,"$125,000 to $149,999",44755
West Virginia,Income,"$150,000 to $199,999",47012
West Virginia,Income,"$200,000 or more",43581
Wisconsin,Income,"Less than $10,000",110181
Wisconsin,Income,"$10,000 to $14,999",76001
Wisconsin,Income,"$15,000 to $19,999",68409
Wisconsin,Income,"$20,000 to $24,999",83176
Wisconsin,Income,"$25,000 to $29,999",73502
Wisconsin,Income,"$30,000 to $34,999",92193
Wisconsin,Income,"$35,000 to $39,999",84605
Wisconsin,Income,"$40,000 to $44,999",101039
Wisconsin,Income,"$45,000 to $49,999",98703
Wisconsin,Income,"$50,000 to $59,999",184439
Wisconsin,Income,"$60,000 to $74,999",253043
Wisconsin,Income,"$75,000 to $99,999",350739
Wisconsin,Income,"$100,000 to $124,999",289087
Wisconsin,Income,"$125,000 to $149,999",203445
Wisconsin,Income,"$150,000 to $199,999",227254
Wisconsin,Income,"$200,000 or more",239382
Wyoming,Income,"Less than $10,000",13192
Wyoming,Income,"$10,000 to $14,999",5640
Wyoming,Income,"$15,000 to $19,999",8200
Wyoming,Income,"$20,000 to $24,999",8399
Wyoming,Income,"$25,000 to $29,999",11830
Wyoming,Income,"$30,000 to $34,999",8700
Wyoming,Income,"$35,000 to $39,999",9330
Wyoming,Income,"$40,000 to $44,999",9201
Wyoming,Income,"$45,000 to $49,999",8125
Wyoming,Income,"$50,000 to $59,999",18121
Wyoming,Income,"$60,000 to $74,999",26470
Wyoming,Income,"$75,000 to $99,999",34974
Wyoming,Income,"$100,000 to $124,999",28536
Wyoming,Income,"$125,000 to $149,999",17794
Wyoming,Income,"$150,000 to $199,999",26226
Wyoming,Income,"$200,000 or more",21551
Puerto Rico,Income,"Less than $10,000",227904
Puerto Rico,Income,"$10,000 to $14,999",136367
Puerto Rico,Income,"$15,000 to $19,999",115707
Puerto Rico,Income,"$20,000 to $24,999",106423
Puerto Rico,Income,"$25,000 to $29,999",75699
Puerto Rico,Income,"$30,000 to $34,999",74766
Puerto Rico,Income,"$35,000 to $39,999",63469
Puerto Rico,Income,"$40,000 to $44,999",57631
Puerto Rico,Income,"$45,000 to $49,999",45244
Puerto Rico,Income,"$50,000 to $59,999",73371
Puerto Rico,Income,"$60,000 to $74,999",83480
Puerto Rico,Income,"$75,000 to $99,999",80135
Puerto Rico,Income,"$100,000 to $124,999",39530
Puerto Rico,Income,"$125,000 to $149,999",20118
Puerto Rico,Income,"$150,000 to $199,999",23070
Puerto Rico,Income,"$200,000 or more",19695
